open_time,open,high,low,close,volume,close_time,quote_volume,count,taker_buy_volume,taker_buy_quote_volume,ignore
1783227600000,62787.00,62788.40,62628.00,62716.40,2140.339,1783231199999,134240102.45070,56762,963.955,60460350.18700,0
1783231200000,62716.40,62800.00,62644.30,62749.90,1389.733,1783234799999,87182640.93090,46408,778.868,48860335.01630,0
1783234800000,62749.80,63039.30,62690.50,62995.10,3714.195,1783238399999,233523261.42280,75833,2262.315,142254266.24340,0
1783238400000,62995.10,63084.00,62868.00,62893.30,2742.219,1783241999999,172646257.20070,66859,1245.456,78418499.70360,0
1783242000000,62893.40,62908.70,62410.10,62600.30,6542.351,1783245599999,409652399.90330,124097,2700.665,169104710.63050,0
1783245600000,62600.20,62737.90,62507.20,62737.60,2252.572,1783249199999,141136751.74380,59584,1252.596,78487185.44990,0
1783249200000,62737.60,62799.90,62582.30,62630.00,1774.562,1783252799999,111205963.87780,52176,819.558,51363122.68190,0
1783252800000,62630.00,62752.00,62534.30,62718.20,2260.963,1783256399999,141665783.80580,62195,1191.570,74669401.30550,0
1783256400000,62718.30,62797.90,62617.50,62769.90,2043.696,1783259999999,128191476.94830,56876,964.358,60488884.43030,0
1783260000000,62769.90,62793.60,62621.50,62785.30,1709.374,1783263599999,107188033.15990,55691,832.268,52191633.23910,0
1783263600000,62785.20,62923.70,62646.90,62711.90,4065.907,1783267199999,255308628.91390,95570,2110.198,132519862.95370,0
1783267200000,62711.90,62745.60,62570.00,62612.00,3034.915,1783270799999,190085305.58070,65643,1420.886,88992314.11180,0
1783270800000,62612.00,62800.00,62564.40,62601.30,2087.571,1783274399999,130827894.87240,63801,1100.824,68997627.08640,0
1783274400000,62601.40,62865.00,62587.80,62787.60,1904.702,1783277999999,119453656.59110,57549,1109.120,69565026.03480,0
1783278000000,62787.60,62848.50,62691.20,62744.00,1276.560,1783281599999,80139535.18510,48966,605.902,38038344.28710,0
1783281600000,62744.10,62815.10,62667.50,62704.70,862.240,1783285199999,54095548.24820,32512,355.919,22327265.60990,0
1783285200000,62704.80,63224.70,62580.00,63070.40,6287.574,1783288799999,395928282.25890,123997,3637.224,229030773.24250,0
1783288800000,63070.40,63979.30,62976.30,63717.10,20592.411,1783292399999,1308712448.46640,342582,12339.736,784443724.41490,0
1783292400000,63717.10,63990.70,63542.80,63617.10,8537.899,1783295999999,544300233.75580,188882,4448.626,283635133.69070,0
1783296000000,63617.20,63760.00,63308.30,63728.40,7726.289,1783299599999,491020031.21890,191174,4316.451,274358326.92920,0
1783299600000,63728.30,63900.00,63520.00,63544.20,4911.735,1783303199999,312965088.91840,159718,2450.331,156136823.44050,0
1783303200000,63544.10,63644.10,63340.40,63425.10,5031.491,1783306799999,319315683.40200,140396,2456.862,155945000.64650,0
1783306800000,63425.10,63478.40,63101.20,63273.00,6110.788,1783310399999,386406163.25990,156466,2744.517,173548242.13150,0
1783310400000,63272.90,63368.30,63154.60,63242.90,2765.979,1783313999999,175003052.26270,90195,1421.713,89957238.77400,0
1783314000000,63242.80,63242.80,62912.60,63086.00,6116.520,1783317599999,385759100.49860,140812,2761.459,174140407.72670,0
1783317600000,63086.00,63125.60,62940.00,62962.60,3366.096,1783321199999,212131976.05790,82442,1668.312,105142564.60970,0
1783321200000,62962.60,63102.70,62858.40,63064.50,4208.151,1783324799999,264962620.29880,91400,2247.983,141545698.50510,0
1783324800000,63064.50,63226.40,62807.10,62876.10,5227.929,1783328399999,329402110.49930,109875,2718.157,171311675.21280,0
1783328400000,62876.00,62893.90,62610.00,62646.60,5981.406,1783331999999,375110626.33330,110927,2540.908,159333961.05260,0
1783332000000,62646.50,63019.30,62641.50,62797.60,5488.250,1783335599999,344911349.56830,105009,3004.691,188831909.09470,0
1783335600000,62797.70,62979.40,62461.40,62461.40,10912.522,1783339199999,683990982.03620,127433,2827.563,177417850.53060,0
1783339200000,62461.20,62467.20,61652.00,61733.60,34860.280,1783342799999,2161266046.47730,548944,16735.405,1037492136.43990,0
1783342800000,61733.60,62023.80,61297.00,61751.70,25787.251,1783346399999,1589662997.81760,499330,13398.545,826170537.51730,0
1783346400000,61751.70,62397.30,61679.40,62019.70,16281.511,1783349999999,1009860185.55990,402981,8339.674,517268107.87480,0
1783350000000,62019.70,63531.10,62019.70,63523.10,28807.014,1783353599999,1809888334.19810,564604,15436.880,970334199.91800,0
1783353600000,63523.00,63850.00,63356.80,63710.40,21207.184,1783357199999,1349061557.86280,431627,10546.166,670949218.15660,0
1783357200000,63710.40,63977.90,63539.90,63565.20,11369.867,1783360799999,725021978.50620,231027,5892.247,375849822.15250,0
1783360800000,63565.20,63867.50,63532.80,63675.70,4653.007,1783364399999,296441980.68370,136575,2478.126,157886488.78090,0
1783364400000,63675.80,63874.40,63628.00,63709.80,3459.098,1783367999999,220566437.16210,112476,1754.495,111876991.92870,0
1783368000000,63709.90,63868.00,63560.00,63798.00,3993.392,1783371599999,254362361.51600,100388,1844.794,117482311.89810,0
1783371600000,63798.10,64691.90,63781.70,64475.90,17905.498,1783375199999,1152141685.89560,336209,10849.251,698148002.97010,0
1783375200000,64475.90,64488.80,64129.40,64227.20,3777.611,1783378799999,242805455.59780,115237,1788.639,114959553.94590,0
1783378800000,64227.20,64330.50,64002.00,64023.60,2844.930,1783382399999,182448483.76040,88692,1164.086,74664284.54650,0
1783382400000,64023.50,64298.10,63981.60,64175.20,4516.091,1783385999999,289529261.14140,139745,2450.576,157117797.22630,0
1783386000000,64175.10,64175.20,63738.90,63815.00,6656.918,1783389599999,425438387.89170,181002,2753.475,175992926.81480,0
1783389600000,63815.00,63884.10,63257.00,63298.20,12011.750,1783393199999,763170312.39640,197119,4765.581,302776305.93670,0
1783393200000,63298.20,63412.80,63122.00,63165.00,6438.175,1783396799999,407309308.14230,148767,2897.478,183336677.26510,0
1783396800000,63164.90,63266.70,63030.70,63069.00,5517.363,1783400399999,348441400.62430,112650,2509.763,158529884.81110,0
1783400400000,63069.00,63232.70,62745.60,63092.50,10146.888,1783403999999,639216097.07820,155468,5178.295,326252853.89780,0
1783404000000,63092.40,63373.30,62954.40,63310.00,6420.153,1783407599999,405689105.20910,119404,3584.363,226514102.03340,0
1783407600000,63309.90,63424.20,63050.00,63062.60,5308.971,1783411199999,335612324.69070,108853,2290.709,144812751.84410,0
1783411200000,63062.70,63165.70,62958.40,63074.00,3246.141,1783414799999,204722673.33870,81924,1528.325,96390877.87100,0
1783414800000,63074.00,63317.40,63030.00,63226.90,3984.997,1783418399999,251819958.51040,81077,2134.973,134913866.79120,0
1783418400000,63227.00,63432.80,63185.40,63258.60,4429.345,1783421999999,280462895.98610,96822,2211.897,140078805.39180,0
1783422000000,63258.60,63427.80,63080.00,63377.70,4669.388,1783425599999,295311351.42490,107499,2259.954,142927354.91590,0
1783425600000,63377.80,63868.00,63365.70,63451.90,11307.971,1783429199999,719467423.50370,211740,5789.854,368357490.20390,0
1783429200000,63451.80,63455.40,62960.30,63033.20,13510.125,1783432799999,853384197.18520,354575,6379.695,403008464.57260,0
1783432800000,63033.30,63617.80,62638.00,63536.50,19586.851,1783436399999,1235250052.32350,510609,9872.115,622935933.94960,0
1783436400000,63536.50,64096.00,63349.40,63910.00,15827.862,1783439999999,1009166069.32930,380472,7952.303,507172568.52100,0
1783440000000,63910.00,64234.10,63780.30,63962.40,8485.483,1783443599999,542886254.15490,229715,4300.035,275152347.12460,0
1783443600000,63962.40,64211.00,63868.20,64164.70,4437.323,1783447199999,284225091.34300,139199,2065.063,132295352.68830,0
1783447200000,64164.60,64168.80,63646.50,63653.80,6767.564,1783450799999,432398766.30370,160547,2744.406,175322764.89570,0
1783450800000,63653.60,63873.20,63351.40,63794.90,8996.679,1783454399999,572293562.29040,209837,5051.668,321353628.23700,0
1783454400000,63794.90,63874.60,63588.50,63668.30,2860.895,1783457999999,182297647.41080,78815,1300.019,82846053.57510,0
1783458000000,63668.40,63839.90,63264.00,63399.50,5782.613,1783461599999,367002836.80710,121571,2727.828,173128457.03970,0
1783461600000,63399.50,63635.40,63177.00,63514.90,3966.559,1783465199999,251550232.60260,109643,1999.268,126836161.64910,0
1783465200000,63514.90,63679.50,63288.00,63335.40,2329.733,1783468799999,147936052.41020,59649,1126.945,71572735.28900,0
1783468800000,63335.40,63740.20,63274.10,63585.90,3564.601,1783472399999,226464864.94420,104433,1872.817,118973884.98150,0
1783472400000,63585.90,63624.00,62883.60,63003.70,8120.007,1783475999999,512605074.92390,187652,3304.949,208638943.01310,0
1783476000000,63003.70,63037.10,62466.90,62951.30,13015.007,1783479599999,817228551.04900,253115,6144.780,385962635.86900,0
1783479600000,62951.40,63067.90,62666.00,62741.00,4155.352,1783483199999,261351609.06140,113157,1878.392,118160211.61940,0
1783483200000,62741.00,62873.30,62643.60,62767.30,3191.098,1783486799999,200286116.91610,101574,1629.474,102278079.33430,0
1783486800000,62766.90,62851.20,62520.40,62613.80,4053.867,1783490399999,254079122.18870,105031,1856.559,116367092.30630,0
1783490400000,62613.80,62718.20,62434.90,62628.50,5098.065,1783493999999,318983984.97090,137700,2515.365,157406158.54380,0
1783494000000,62628.50,62867.70,62519.30,62854.10,5614.701,1783497599999,352244755.58330,121550,3221.175,202090136.25730,0
1783497600000,62854.10,62921.80,61821.00,61989.80,24133.055,1783501199999,1500821368.11470,461548,11450.246,711869028.86240,0
1783501200000,61989.80,62142.90,61708.20,62031.70,11392.528,1783504799999,705627444.99480,229528,5597.421,346731762.56600,0
