time,open,high,low,close
2026-04-11 13:00:00+00:00,4722.44,4722.8,4721.46,4722.78
2026-04-11 14:00:00+00:00,4722.79,4729.6,4721.71,4721.8
2026-04-11 15:00:00+00:00,4721.79,4724.4,4721.79,4724.31
2026-04-11 16:00:00+00:00,4724.31,4730.83,4722.7,4724.57
2026-04-11 17:00:00+00:00,4724.57,4725.13,4720.15,4721.73
2026-04-11 18:00:00+00:00,4721.73,4728.63,4721.72,4728.62
2026-04-11 19:00:00+00:00,4728.63,4729.2,4726.85,4728.78
2026-04-11 20:00:00+00:00,4728.77,4728.78,4726.72,4726.73
2026-04-11 21:00:00+00:00,4726.82,4728.34,4726.49,4726.5
2026-04-11 22:00:00+00:00,4726.51,4727.52,4723.39,4723.57
2026-04-11 23:00:00+00:00,4723.57,4723.58,4722.63,4723.29
2026-04-12 00:00:00+00:00,4723.3,4724.1,4723.29,4724.02
2026-04-12 01:00:00+00:00,4724.01,4725.76,4708.2,4708.38
2026-04-12 02:00:00+00:00,4708.38,4711.96,4702.3,4709.68
2026-04-12 03:00:00+00:00,4709.69,4712.58,4709.68,4712.17
2026-04-12 04:00:00+00:00,4712.17,4712.91,4703.05,4705.45
2026-04-12 05:00:00+00:00,4705.45,4705.81,4703.89,4705.33
2026-04-12 06:00:00+00:00,4705.32,4705.33,4698.9,4700.44
2026-04-12 07:00:00+00:00,4700.43,4710.0,4699.76,4704.67
2026-04-12 08:00:00+00:00,4704.66,4709.14,4702.91,4707.54
2026-04-12 09:00:00+00:00,4707.54,4707.54,4702.16,4703.07
2026-04-12 10:00:00+00:00,4703.06,4703.06,4699.96,4700.04
2026-04-12 11:00:00+00:00,4700.04,4701.78,4699.31,4700.43
2026-04-12 12:00:00+00:00,4700.44,4700.44,4691.86,4692.02
2026-04-12 13:00:00+00:00,4692.02,4692.02,4680.0,4680.76
2026-04-12 14:00:00+00:00,4680.77,4687.2,4680.0,4681.15
2026-04-12 15:00:00+00:00,4681.15,4684.86,4681.14,4684.07
2026-04-12 16:00:00+00:00,4684.06,4684.06,4677.75,4682.77
2026-04-12 17:00:00+00:00,4682.78,4686.97,4682.77,4686.96
2026-04-12 18:00:00+00:00,4686.96,4689.46,4683.84,4684.38
2026-04-12 19:00:00+00:00,4684.39,4686.57,4683.63,4684.9
2026-04-12 20:00:00+00:00,4684.89,4684.89,4680.28,4683.37
2026-04-12 21:00:00+00:00,4683.36,4684.75,4680.04,4680.04
2026-04-12 22:00:00+00:00,4680.04,4680.04,4622.22,4635.6
2026-04-12 23:00:00+00:00,4635.6,4649.75,4622.64,4649.75
2026-04-13 00:00:00+00:00,4649.75,4672.15,4642.61,4670.0
2026-04-13 01:00:00+00:00,4670.01,4699.87,4669.74,4695.27
2026-04-13 02:00:00+00:00,4695.28,4699.99,4685.06,4694.84
2026-04-13 03:00:00+00:00,4694.84,4696.59,4686.41,4692.81
2026-04-13 04:00:00+00:00,4692.81,4697.09,4683.75,4696.61
2026-04-13 05:00:00+00:00,4696.61,4703.11,4691.31,4702.6
2026-04-13 06:00:00+00:00,4702.61,4706.66,4697.73,4699.78
2026-04-13 07:00:00+00:00,4699.79,4714.2,4699.79,4710.77
2026-04-13 08:00:00+00:00,4710.76,4713.99,4698.17,4700.49
2026-04-13 09:00:00+00:00,4700.49,4704.31,4687.51,4691.03
2026-04-13 10:00:00+00:00,4691.02,4699.22,4684.59,4697.85
2026-04-13 11:00:00+00:00,4697.88,4703.72,4680.0,4680.86
2026-04-13 12:00:00+00:00,4680.87,4696.69,4679.24,4695.7
2026-04-13 13:00:00+00:00,4695.69,4714.99,4693.5,4703.52
2026-04-13 14:00:00+00:00,4703.52,4703.53,4682.35,4690.27
2026-04-13 15:00:00+00:00,4690.27,4690.79,4672.93,4686.9
2026-04-13 16:00:00+00:00,4687.02,4717.96,4683.96,4706.57
2026-04-13 17:00:00+00:00,4706.58,4721.39,4700.45,4704.3
2026-04-13 18:00:00+00:00,4704.3,4713.3,4697.64,4711.59
2026-04-13 19:00:00+00:00,4711.58,4718.94,4705.39,4714.79
2026-04-13 20:00:00+00:00,4714.8,4716.9,4711.75,4713.37
2026-04-13 21:00:00+00:00,4713.36,4717.5,4712.01,4715.02
2026-04-13 22:00:00+00:00,4715.03,4732.0,4715.02,4731.51
2026-04-13 23:00:00+00:00,4731.51,4738.88,4728.58,4731.57
2026-04-14 00:00:00+00:00,4731.57,4747.28,4727.09,4742.62
2026-04-14 01:00:00+00:00,4742.61,4750.2,4736.36,4738.4
2026-04-14 02:00:00+00:00,4738.39,4750.3,4737.0,4748.88
2026-04-14 03:00:00+00:00,4748.87,4749.15,4741.05,4742.55
2026-04-14 04:00:00+00:00,4742.55,4750.92,4742.22,4748.98
2026-04-14 05:00:00+00:00,4748.98,4748.98,4733.26,4735.27
2026-04-14 06:00:00+00:00,4735.27,4758.06,4735.26,4757.88
2026-04-14 07:00:00+00:00,4757.88,4770.95,4745.81,4753.83
2026-04-14 08:00:00+00:00,4753.82,4764.76,4751.57,4761.99
2026-04-14 09:00:00+00:00,4762.0,4764.88,4750.31,4754.92
